,Диаметр экспл.колонны,Буферное давление,Давление в линии,Динамическая высота,Затрубное давление,Обводненность,Глубина спуска,Давление на приеме
1357,146.8,9.0,7.2,3064.0,11.0,25.0,3119.11,16.0
1358,159.6,20.6,19.6,2596.0,21.1,55.0,2622.0,24.0
1359,146.8,20.5,19.5,2526.0,23.7,45.0,2581.98,27.0
1360,146.8,18.0,16.8,2721.0,19.0,50.0,2728.04,26.0
1361,146.8,27.0,26.0,2338.0,27.9,36.0,2450.0,35.0
1362,146.8,15.0,14.0,2165.0,16.0,60.0,2234.01,19.0
1363,146.8,22.7,21.7,2322.0,23.6,62.0,2461.0,31.0
1364,146.8,16.3,15.3,2909.0,16.8,39.0,3099.23,26.0
1365,146.8,17.0,16.0,2043.0,17.0,41.0,2653.0,72.0
1366,146.8,23.5,22.5,2109.0,24.2,62.0,2287.0,40.0
1367,146.8,23.0,22.0,2197.0,23.7,76.0,2235.0,30.0
1368,146.8,16.3,15.5,2677.0,16.8,63.0,2968.0,29.0
1369,157.2,6.6,5.6,2524.0,7.0,79.0,2590.0,9.0
1370,150.2,17.3,16.0,2183.0,16.5,50.0,2234.0,27.0
1371,146.8,8.0,7.0,2560.0,8.0,72.0,2605.43,10.0
1372,150.2,13.8,12.8,2200.0,14.6,69.0,2229.54,18.0
1373,146.8,15.8,15.3,2280.0,15.9,93.0,2316.77,20.0
1374,146.8,11.0,10.0,3105.0,12.0,34.0,3128.53,15.0
1375,146.8,17.3,16.0,2644.0,17.6,80.0,2668.29,19.0
1376,146.8,16.4,15.4,2896.0,17.0,32.0,3051.5,22.0
1377,146.8,20.1,19.1,2143.0,19.2,46.0,2748.36,72.0
1378,146.8,17.0,16.0,2313.0,17.6,21.0,2414.97,34.0
1379,157.0,6.8,5.9,2164.0,7.6,42.0,2322.33,17.0
1380,147.0,7.2,6.2,2705.0,7.9,69.0,2779.0,12.0
1381,146.8,16.8,16.0,1813.0,18.8,12.0,2359.66,70.0
1382,146.8,9.5,8.5,2804.0,10.2,60.0,2842.0,14.0
1383,159.6,18.6,17.5,2062.0,19.3,8.0,2550.91,65.0
1384,159.6,16.8,15.8,2798.0,16.0,60.0,2825.8,19.0
1385,146.8,27.0,22.0,2320.0,24.2,68.0,2321.36,28.0
